budget_ms,method,accuracy,avg_latency_ms,exit_distribution,trust_vector
7.5,EENet,63.79,0.5497684184999396,"[0.1826999932527542, 0.2822999954223633, 0.1340000033378601, 0.4009000062942505]",
7.5,EENet+Trust,63.79,0.5488676057999362,"[0.1827, 0.2754, 0.182, 0.3598]","[0.11872713138815844, 0.23676622911867665, 0.30752348941026303, 0.3369831500829019]"
7.5,Entropy,63.62,0.522917085899943,"[0.241799995303154, 0.2500999867916107, 0.23800000548362732, 0.2700999975204468]",
6.75,EENet,60.36,0.5852655871999176,"[0.19660000503063202, 0.07959999889135361, 0.28690001368522644, 0.4171000123023987]",
6.75,EENet+Trust,57.8,0.5670455766999262,"[0.2429, 0.0727, 0.2516, 0.4146]","[0.12660693291802885, 0.24846484712136177, 0.26898156630020176, 0.3559466536604076]"
6.75,Entropy,62.59,0.5153179395999472,"[0.2597000002861023, 0.24619999527931213, 0.23190000653266907, 0.2621999979019165]",
6.5,EENet,55.73,0.5304283761999132,"[0.19850000739097595, 0.2280000001192093, 0.5733000040054321, 0.00019999999494757503]",
6.5,EENet+Trust,55.54,0.5301065051999122,"[0.2088, 0.212, 0.5779, 0.0013]","[0.254073574149444, 0.30361757949614815, 0.3929939986835464, 0.04931484767086158]"
6.5,Entropy,62.7,0.5187187966999445,"[0.26080000400543213, 0.2304999977350235, 0.250900000333786, 0.25780001282691956]",
6.0,EENet,55.67,0.533199471099952,"[0.27079999446868896, 0.20970000326633453, 0.060100000351667404, 0.4593999981880188]",
6.0,EENet+Trust,57.67,0.5468924940999436,"[0.2324, 0.2203, 0.1011, 0.4462]","[0.14024002722540518, 0.19378621194257406, 0.31031571532891455, 0.35565804550310615]"
6.0,Entropy,62.76,0.5112849412999494,"[0.24549999833106995, 0.2809000015258789, 0.22939999401569366, 0.24420000612735748]",
