budget_ms,method,accuracy,avg_latency_ms,exit_distribution,trust_vector
7.5,EENet,65.625,6.243125000000001,"[0.125, 0.59375, 0.125, 0.15625]",
7.5,EENet+Trust,65.625,6.243125000000001,"[0.125, 0.59375, 0.125, 0.15625]","[0.18405743952604783, 0.24600639681030734, 0.27236381517943076, 0.2975723484842142]"
7.5,Entropy,59.375,7.033125000000001,"[0.25, 0.21875, 0.25, 0.28125]",
6.75,EENet,46.875,3.422187499999999,"[0.03125, 0.40625, 0.125, 0.0]",
6.75,EENet+Trust,46.875,3.2899999999999987,"[0.03125, 0.4375, 0.09375, 0.0]","[0.237966398271583, 0.30383379955026363, 0.3093927423632695, 0.14880705981488365]"
6.75,Entropy,59.375,6.900937500000001,"[0.25, 0.25, 0.21875, 0.28125]",
6.5,EENet,53.125,4.3390625,"[0.09375, 0.4375, 0.1875, 0.0]",
6.5,EENet+Trust,59.375,4.6703125,"[0.09375, 0.5, 0.1875, 0.0]","[0.23411735943248732, 0.29906982809802823, 0.32090025740933065, 0.1459125550601537]"
6.5,Entropy,65.625,7.274062500000001,"[0.21875, 0.21875, 0.25, 0.3125]",
6.0,EENet,68.75,8.2821875,"[0.125, 0.15625, 0.28125, 0.4375]",
6.0,EENet+Trust,68.75,8.2821875,"[0.125, 0.15625, 0.28125, 0.4375]","[0.1842524071046248, 0.24309889403598528, 0.26015150117694386, 0.31249719768244594]"
6.0,Entropy,62.5,7.207187500000001,"[0.25, 0.1875, 0.21875, 0.34375]",
