policy,scenario,seed,accuracy,accuracy_on_completed,reliability,dropped_responses,avg_latency_ms,exit_distribution,faulty_peers,trust_vector,peer_summary,trust_trace
random,easy,0,68.75,68.75,100.0,0.0,19.0233378365005,"[0.125, 0.15625, 0.28125, 0.4375]",0,"[0.006380269013721999, 0.0064495232067976836, 0.0065798261953427155, 0.006832206152581046, 0.007366845662825618, 0.008307827721059076, 0.009872578096925096, 0.012834316069129383, 0.016048086932765035, 0.025368142979858167, 0.037850610029251046, 0.062401399336033725, 0.10514421656737805, 0.16455617024820565, 0.2266567250718129, 0.2973512567163128]","{'peer_0': {'trust': 0.0064, 'accuracy': 0.45, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_1': {'trust': 0.0064, 'accuracy': 0.35, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_2': {'trust': 0.0066, 'accuracy': 0.3962, 'latency_ok': 1.0, 'calibration': 0.4211}, 'peer_3': {'trust': 0.0068, 'accuracy': 0.44, 'latency_ok': 1.0, 'calibration': 0.5039}, 'peer_4': {'trust': 0.0074, 'accuracy': 0.575, 'latency_ok': 1.0, 'calibration': 0.5459}, 'peer_5': {'trust': 0.0083, 'accuracy': 0.6125, 'latency_ok': 1.0, 'calibration': 0.5285}, 'peer_6': {'trust': 0.0099, 'accuracy': 0.575, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_7': {'trust': 0.0128, 'accuracy': 0.575, 'latency_ok': 1.0, 'calibration': 0.5481}, 'peer_8': {'trust': 0.016, 'accuracy': 0.35, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_9': {'trust': 0.0254, 'accuracy': 0.5833, 'latency_ok': 1.0, 'calibration': 0.4473}, 'peer_10': {'trust': 0.0379, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.4524}, 'peer_11': {'trust': 0.0624, 'accuracy': 0.5643, 'latency_ok': 1.0, 'calibration': 0.4858}, 'peer_12': {'trust': 0.1051, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_13': {'trust': 0.1646, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.2267, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.6145}, 'peer_15': {'trust': 0.2974, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}}",[]
random,easy,1,68.75,68.75,100.0,0.0,18.975087278672415,"[0.125, 0.15625, 0.28125, 0.4375]",0,"[0.006372818994941746, 0.006454300095047148, 0.006571768492584859, 0.006820451841696249, 0.007345350682004975, 0.008258607276161766, 0.009709519001500525, 0.012539225561854947, 0.01749283199186264, 0.024723285214354702, 0.038184570201039235, 0.06424907803908257, 0.10666267308416673, 0.1664359467158018, 0.2237164493553259, 0.2944631234525742]","{'peer_0': {'trust': 0.0064, 'accuracy': 0.4192, 'latency_ok': 1.0, 'calibration': 0.4596}, 'peer_1': {'trust': 0.0065, 'accuracy': 0.3929, 'latency_ok': 1.0, 'calibration': 0.5742}, 'peer_2': {'trust': 0.0066, 'accuracy': 0.35, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_3': {'trust': 0.0068, 'accuracy': 0.4357, 'latency_ok': 1.0, 'calibration': 0.5046}, 'peer_4': {'trust': 0.0073, 'accuracy': 0.5833, 'latency_ok': 1.0, 'calibration': 0.5219}, 'peer_5': {'trust': 0.0083, 'accuracy': 0.62, 'latency_ok': 1.0, 'calibration': 0.4909}, 'peer_6': {'trust': 0.0097, 'accuracy': 0.53, 'latency_ok': 1.0, 'calibration': 0.5278}, 'peer_7': {'trust': 0.0125, 'accuracy': 0.575, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_8': {'trust': 0.0175, 'accuracy': 0.575, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_9': {'trust': 0.0247, 'accuracy': 0.47, 'latency_ok': 1.0, 'calibration': 0.496}, 'peer_10': {'trust': 0.0382, 'accuracy': 0.5214, 'latency_ok': 1.0, 'calibration': 0.4166}, 'peer_11': {'trust': 0.0642, 'accuracy': 0.6071, 'latency_ok': 1.0, 'calibration': 0.4757}, 'peer_12': {'trust': 0.1067, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_13': {'trust': 0.1664, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.2237, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_15': {'trust': 0.2945, 'accuracy': 0.6, 'latency_ok': 1.0, 'calibration': 0.5322}}",[]
random,easy,2,68.75,68.75,100.0,0.0,18.82146368221478,"[0.125, 0.15625, 0.28125, 0.4375]",0,"[0.006466570467399681, 0.0065941135065815904, 0.0068205805891827734, 0.007228457933812424, 0.00819734559468148, 0.00961892869029962, 0.012653351327141125, 0.01754654450448166, 0.025161946641976494, 0.0395191044814188, 0.06741967631680187, 0.09846155289450564, 0.16290509977352946, 0.23578580655649709, 0.28935087230909057, 0.006270048412599694]","{'peer_0': {'trust': 0.0065, 'accuracy': 0.41, 'latency_ok': 1.0, 'calibration': 0.544}, 'peer_1': {'trust': 0.0066, 'accuracy': 0.4, 'latency_ok': 1.0, 'calibration': 0.4529}, 'peer_2': {'trust': 0.0068, 'accuracy': 0.3833, 'latency_ok': 1.0, 'calibration': 0.5091}, 'peer_3': {'trust': 0.0072, 'accuracy': 0.4357, 'latency_ok': 1.0, 'calibration': 0.4604}, 'peer_4': {'trust': 0.0082, 'accuracy': 0.59, 'latency_ok': 1.0, 'calibration': 0.6049}, 'peer_5': {'trust': 0.0096, 'accuracy': 0.56, 'latency_ok': 1.0, 'calibration': 0.4948}, 'peer_6': {'trust': 0.0127, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_7': {'trust': 0.0175, 'accuracy': 0.575, 'latency_ok': 1.0, 'calibration': 0.5573}, 'peer_8': {'trust': 0.0252, 'accuracy': 0.5214, 'latency_ok': 1.0, 'calibration': 0.4604}, 'peer_9': {'trust': 0.0395, 'accuracy': 0.5643, 'latency_ok': 1.0, 'calibration': 0.4273}, 'peer_10': {'trust': 0.0674, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_11': {'trust': 0.0985, 'accuracy': 0.47, 'latency_ok': 1.0, 'calibration': 0.4838}, 'peer_12': {'trust': 0.1629, 'accuracy': 0.5833, 'latency_ok': 1.0, 'calibration': 0.6087}, 'peer_13': {'trust': 0.2358, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.2894, 'accuracy': 0.55, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_15': {'trust': 0.0063, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}}",[]
trust,easy,0,68.75,68.75,100.0,0.0,18.975297988017562,"[0.125, 0.15625, 0.28125, 0.4375]",0,"[0.10499316105477052, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855, 0.1687964506398457, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855, 0.22962011497465565, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855, 0.2975194817061699, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855]","{'peer_0': {'trust': 0.105, 'accuracy': 0.4062, 'latency_ok': 1.0, 'calibration': 0.4894}, 'peer_1': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_2': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_3': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_4': {'trust': 0.1688, 'accuracy': 0.5857, 'latency_ok': 1.0, 'calibration': 0.5252}, 'peer_5': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_6': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_7': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_8': {'trust': 0.2296, 'accuracy': 0.5457, 'latency_ok': 1.0, 'calibration': 0.4521}, 'peer_9': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_10': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_11': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_12': {'trust': 0.2975, 'accuracy': 0.5857, 'latency_ok': 1.0, 'calibration': 0.5936}, 'peer_13': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_15': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}}",[]
trust,easy,1,68.75,68.75,100.0,0.0,18.789509074551816,"[0.125, 0.15625, 0.28125, 0.4375]",0,"[0.10499316105477052, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855, 0.1687964506398457, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855, 0.22962011497465565, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855, 0.2975194817061699, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855]","{'peer_0': {'trust': 0.105, 'accuracy': 0.4062, 'latency_ok': 1.0, 'calibration': 0.4894}, 'peer_1': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_2': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_3': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_4': {'trust': 0.1688, 'accuracy': 0.5857, 'latency_ok': 1.0, 'calibration': 0.5252}, 'peer_5': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_6': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_7': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_8': {'trust': 0.2296, 'accuracy': 0.5457, 'latency_ok': 1.0, 'calibration': 0.4521}, 'peer_9': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_10': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_11': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_12': {'trust': 0.2975, 'accuracy': 0.5857, 'latency_ok': 1.0, 'calibration': 0.5936}, 'peer_13': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_15': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}}",[]
trust,easy,2,68.75,68.75,100.0,0.0,18.5414142649633,"[0.125, 0.15625, 0.28125, 0.4375]",0,"[0.10499316105477052, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855, 0.1687964506398457, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855, 0.22962011497465565, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855, 0.2975194817061699, 0.016589232635379855, 0.016589232635379855, 0.016589232635379855]","{'peer_0': {'trust': 0.105, 'accuracy': 0.4062, 'latency_ok': 1.0, 'calibration': 0.4894}, 'peer_1': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_2': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_3': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_4': {'trust': 0.1688, 'accuracy': 0.5857, 'latency_ok': 1.0, 'calibration': 0.5252}, 'peer_5': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_6': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_7': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_8': {'trust': 0.2296, 'accuracy': 0.5457, 'latency_ok': 1.0, 'calibration': 0.4521}, 'peer_9': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_10': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_11': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_12': {'trust': 0.2975, 'accuracy': 0.5857, 'latency_ok': 1.0, 'calibration': 0.5936}, 'peer_13': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_15': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}}",[]
random,medium,0,31.25,31.25,100.0,0.0,14.806650908049042,"[0.53125, 0.125, 0.125, 0.21875]",5,"[0.00643913693642922, 0.006563370763427166, 0.006661515150877361, 0.006898456406205868, 0.007659553377946179, 0.008910242319280176, 0.01002906540635684, 0.013208946395837935, 0.018028006617526945, 0.02957723107325346, 0.043051557841716194, 0.058641326525421714, 0.11099065712818945, 0.17176425171793405, 0.2122264108840859, 0.2893502714555117]","{'peer_0': {'trust': 0.0064, 'accuracy': 0.425, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_1': {'trust': 0.0066, 'accuracy': 0.4167, 'latency_ok': 1.0, 'calibration': 0.5344}, 'peer_2': {'trust': 0.0067, 'accuracy': 0.3731, 'latency_ok': 0.7, 'calibration': 0.4219}, 'peer_3': {'trust': 0.0069, 'accuracy': 0.425, 'latency_ok': 0.7, 'calibration': 0.351}, 'peer_4': {'trust': 0.0077, 'accuracy': 0.575, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_5': {'trust': 0.0089, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_6': {'trust': 0.01, 'accuracy': 0.5, 'latency_ok': 0.7, 'calibration': 0.5}, 'peer_7': {'trust': 0.0132, 'accuracy': 0.5, 'latency_ok': 0.925, 'calibration': 0.5}, 'peer_8': {'trust': 0.018, 'accuracy': 0.41, 'latency_ok': 1.0, 'calibration': 0.5656}, 'peer_9': {'trust': 0.0296, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_10': {'trust': 0.0431, 'accuracy': 0.65, 'latency_ok': 0.7, 'calibration': 0.5}, 'peer_11': {'trust': 0.0586, 'accuracy': 0.45, 'latency_ok': 0.7, 'calibration': 0.5}, 'peer_12': {'trust': 0.111, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_13': {'trust': 0.1718, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.2122, 'accuracy': 0.35, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_15': {'trust': 0.2894, 'accuracy': 0.55, 'latency_ok': 1.0, 'calibration': 0.5}}",[]
random,medium,1,43.75,43.75,100.0,0.0,16.690455495450504,"[0.34375, 0.09375, 0.25, 0.3125]",4,"[0.006433632162611702, 0.006565198517037658, 0.006652019445549854, 0.0069808470700675, 0.007364735757526053, 0.008720219857071705, 0.010303652707217953, 0.01384000668417749, 0.019104449353342948, 0.02624455871321875, 0.03865220149596387, 0.0708445810326908, 0.10227841133562289, 0.1706910571573013, 0.20797191542588597, 0.29735251328471357]","{'peer_0': {'trust': 0.0064, 'accuracy': 0.4167, 'latency_ok': 1.0, 'calibration': 0.4326}, 'peer_1': {'trust': 0.0066, 'accuracy': 0.4786, 'latency_ok': 1.0, 'calibration': 0.438}, 'peer_2': {'trust': 0.0067, 'accuracy': 0.3833, 'latency_ok': 0.7, 'calibration': 0.3528}, 'peer_3': {'trust': 0.007, 'accuracy': 0.35, 'latency_ok': 0.9571, 'calibration': 0.5}, 'peer_4': {'trust': 0.0074, 'accuracy': 0.425, 'latency_ok': 0.7, 'calibration': 0.5}, 'peer_5': {'trust': 0.0087, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_6': {'trust': 0.0103, 'accuracy': 0.55, 'latency_ok': 0.95, 'calibration': 0.4383}, 'peer_7': {'trust': 0.0138, 'accuracy': 0.55, 'latency_ok': 1.0, 'calibration': 0.6025}, 'peer_8': {'trust': 0.0191, 'accuracy': 0.5214, 'latency_ok': 1.0, 'calibration': 0.4771}, 'peer_9': {'trust': 0.0262, 'accuracy': 0.55, 'latency_ok': 0.7, 'calibration': 0.5}, 'peer_10': {'trust': 0.0387, 'accuracy': 0.35, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_11': {'trust': 0.0708, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_12': {'trust': 0.1023, 'accuracy': 0.45, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_13': {'trust': 0.1707, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.208, 'accuracy': 0.5, 'latency_ok': 0.7, 'calibration': 0.5}, 'peer_15': {'trust': 0.2974, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}}",[]
random,medium,2,56.25,56.25,100.0,0.0,21.054079596149965,"[0.21875, 0.1875, 0.25, 0.34375]",5,"[0.006408833579479257, 0.0065159013582754425, 0.006699484954083821, 0.0069003476661859105, 0.007686450283635701, 0.008804956700418407, 0.009794729909577487, 0.013723005431708096, 0.020132515628227154, 0.029416301263439408, 0.03872877738073889, 0.07140630945748942, 0.11729329968849175, 0.17910501588967673, 0.21477359434765675, 0.2626104764609159]","{'peer_0': {'trust': 0.0064, 'accuracy': 0.35, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_1': {'trust': 0.0065, 'accuracy': 0.3875, 'latency_ok': 1.0, 'calibration': 0.5288}, 'peer_2': {'trust': 0.0067, 'accuracy': 0.4167, 'latency_ok': 1.0, 'calibration': 0.5125}, 'peer_3': {'trust': 0.0069, 'accuracy': 0.4625, 'latency_ok': 0.7, 'calibration': 0.4095}, 'peer_4': {'trust': 0.0077, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_5': {'trust': 0.0088, 'accuracy': 0.6, 'latency_ok': 1.0, 'calibration': 0.5145}, 'peer_6': {'trust': 0.0098, 'accuracy': 0.5, 'latency_ok': 0.7, 'calibration': 0.3877}, 'peer_7': {'trust': 0.0137, 'accuracy': 0.6, 'latency_ok': 1.0, 'calibration': 0.5088}, 'peer_8': {'trust': 0.0201, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_9': {'trust': 0.0294, 'accuracy': 0.5643, 'latency_ok': 1.0, 'calibration': 0.4211}, 'peer_10': {'trust': 0.0387, 'accuracy': 0.45, 'latency_ok': 0.7, 'calibration': 0.5}, 'peer_11': {'trust': 0.0714, 'accuracy': 0.59, 'latency_ok': 1.0, 'calibration': 0.5214}, 'peer_12': {'trust': 0.1173, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_13': {'trust': 0.1791, 'accuracy': 0.65, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.2148, 'accuracy': 0.5, 'latency_ok': 0.7, 'calibration': 0.5}, 'peer_15': {'trust': 0.2626, 'accuracy': 0.45, 'latency_ok': 0.7, 'calibration': 0.5}}",[]
trust,medium,0,68.75,68.75,100.0,0.0,19.14748550391367,"[0.125, 0.15625, 0.28125, 0.4375]",5,"[0.10529133464507429, 0.016625428076412513, 0.016625428076412513, 0.016625428076412513, 0.1686499110296676, 0.016625428076412513, 0.016625428076412513, 0.016625428076412513, 0.22902760426449031, 0.016625428076412513, 0.016625428076412513, 0.016625428076412513, 0.2975260131438176, 0.016625428076412513, 0.016625428076412513, 0.016625428076412513]","{'peer_0': {'trust': 0.1053, 'accuracy': 0.4062, 'latency_ok': 1.0, 'calibration': 0.4894}, 'peer_1': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_2': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_3': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_4': {'trust': 0.1686, 'accuracy': 0.5857, 'latency_ok': 0.9893, 'calibration': 0.5252}, 'peer_5': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_6': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_7': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_8': {'trust': 0.229, 'accuracy': 0.5457, 'latency_ok': 0.987, 'calibration': 0.4521}, 'peer_9': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_10': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_11': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_12': {'trust': 0.2975, 'accuracy': 0.5857, 'latency_ok': 1.0, 'calibration': 0.5936}, 'peer_13': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_14': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}, 'peer_15': {'trust': 0.0166, 'accuracy': 0.5, 'latency_ok': 1.0, 'calibration': 0.5}}",[]
